test,answer,is_complete,t_wasp
_build/xcsp/AllInterval-008.wat,False,False,0.68
_build/xcsp/AllInterval-011.wat,False,False,1.54
_build/xcsp/AllInterval-010.wat,False,False,1.21
_build/xcsp/aim-100-1-6-sat-1.wat,False,False,3.5
_build/xcsp/aim-100-1-6-sat-2.wat,False,False,3.57
_build/xcsp/aim-100-3-4-sat-4.wat,False,False,4.57
_build/xcsp/aim-200-1-6-sat-1.wat,False,False,8.94
_build/xcsp/aim-200-2-0-sat-3.wat,False,False,10.52
_build/xcsp/AllInterval-013.wat,False,False,4.64
_build/xcsp/aim-200-3-4-sat-1.wat,False,False,12.01
_build/xcsp/aim-100-1-6-sat-4.wat,False,False,3.26
_build/xcsp/aim-100-2-0-sat-4.wat,False,False,3.6
_build/xcsp/aim-200-3-4-sat-3.wat,False,False,14.54
_build/xcsp/aim-200-6-0-sat-2.wat,False,False,20.78
_build/xcsp/aim-200-2-0-sat-2.wat,False,False,8.49
_build/xcsp/aim-200-2-0-sat-4.wat,False,False,10.19
_build/xcsp/aim-200-3-4-sat-4.wat,False,False,12.41
_build/xcsp/aim-200-6-0-sat-4.wat,False,False,16.73
_build/xcsp/aim-200-1-6-sat-4.wat,False,False,10.16
_build/xcsp/CostasArray-13.wat,False,False,31.98
_build/xcsp/aim-100-2-0-sat-2.wat,False,False,3.31
_build/xcsp/aim-100-6-0-sat-4.wat,False,False,5.22
_build/xcsp/CostasArray-11.wat,False,False,9.41
_build/xcsp/aim-200-1-6-sat-3.wat,False,False,9.0
_build/xcsp/AllInterval-012.wat,False,False,3.29
_build/xcsp/aim-100-3-4-sat-3.wat,False,False,4.54
_build/xcsp/aim-200-2-0-sat-1.wat,False,False,8.9
_build/xcsp/AllInterval-017.wat,False,False,69.54
_build/xcsp/AllInterval-006.wat,False,False,0.46
_build/xcsp/CostasArray-10.wat,False,False,6.53
_build/xcsp/AllInterval-005.wat,False,False,0.39
_build/xcsp/aim-100-2-0-sat-1.wat,False,False,3.72
_build/xcsp/AllInterval-016.wat,False,False,78.71
_build/xcsp/CostasArray-14.wat,False,False,131.08
_build/xcsp/AllInterval-009.wat,False,False,1.14
_build/xcsp/aim-100-6-0-sat-1.wat,False,False,6.01
_build/xcsp/aim-200-1-6-sat-2.wat,False,False,8.34
_build/xcsp/aim-200-6-0-sat-3.wat,False,False,21.51
_build/xcsp/aim-200-6-0-sat-1.wat,False,False,15.51
_build/xcsp/aim-200-3-4-sat-2.wat,False,False,13.55
_build/xcsp/aim-100-1-6-sat-3.wat,False,False,3.56
_build/xcsp/aim-100-6-0-sat-2.wat,False,False,5.85
_build/xcsp/AllInterval-007.wat,False,False,0.52
_build/xcsp/aim-100-2-0-sat-3.wat,False,False,3.37
_build/xcsp/aim-100-3-4-sat-1.wat,False,False,4.41
_build/xcsp/AllInterval-019.wat,False,False,37.19
_build/xcsp/aim-100-3-4-sat-2.wat,False,False,5.55
_build/xcsp/AllInterval-014.wat,False,False,7.42
_build/xcsp/aim-100-6-0-sat-3.wat,False,False,6.69
_build/xcsp/CostasArray-12.wat,False,False,14.41
_build/xcsp/AllInterval-018.wat,False,False,403.9
_build/xcsp/AllInterval-015.wat,False,False,301.04
_build/xcsp/CostasArray-15.wat,False,False,631.23
_build/xcsp/AllInterval-030.wat,Timeout,False,900.06
_build/xcsp/AllInterval-020.wat,False,False,759.19
_build/xcsp/CostasArray-17.wat,Timeout,False,900.11
_build/xcsp/AllInterval-035.wat,Timeout,False,900.12
_build/xcsp/AllInterval-025.wat,Timeout,False,900.07
_build/xcsp/CostasArray-16.wat,Timeout,False,900.11
